customer_id,product_id,sales_transaction_date,sales_amount,channel,dealership_id
29110,8,"2018-02-05 12:57:53",699.99,dealership,10
15463,3,"2017-07-22 14:26:48",399.992,internet,NULL
26945,3,"2017-01-02 11:49:25",499.99,internet,NULL
37174,3,"2016-06-09 10:06:26",399.992,internet,NULL
1623,3,"2013-12-24 10:29:24",499.99,internet,NULL
12628,8,"2017-08-11 22:15:37",699.99,internet,NULL
15815,8,"2018-04-01 08:10:00",699.99,dealership,20
35075,7,"2016-10-24 09:39:35",539.991,internet,NULL
42337,7,"2019-02-27 06:29:30",599.99,internet,NULL
20498,3,"2013-06-27 19:43:30",499.99,internet,NULL
37668,8,"2018-12-20 17:20:08",629.991,dealership,1
16306,3,"2016-11-22 18:50:32",399.992,dealership,13
29345,8,"2017-08-25 10:01:28",699.99,internet,NULL
319,7,"2017-01-29 04:46:09",479.992,dealership,12
37150,3,"2018-11-28 19:37:00",399.992,internet,NULL
44882,3,"2016-04-06 09:34:58",499.99,internet,NULL
15128,3,"2015-07-16 02:27:52",399.992,internet,NULL
9907,3,"2015-12-05 09:03:52",499.99,dealership,7
26633,7,"2017-09-17 03:09:12",479.992,dealership,3
22373,4,"2018-01-05 14:25:15",115000,internet,NULL
43771,4,"2016-07-19 09:08:48",103500,dealership,3
14414,7,"2018-09-03 03:16:54",599.99,internet,NULL
37242,8,"2018-11-02 13:37:17",559.9920000000001,dealership,16
39096,3,"2018-06-07 23:17:02",499.99,internet,NULL
41586,7,"2018-05-28 05:42:30",599.99,dealership,1
18601,7,"2017-04-17 00:06:22",599.99,internet,NULL
183,7,"2018-12-27 18:23:56",599.99,internet,NULL
18038,8,"2018-09-23 20:37:45",699.99,dealership,3
28777,8,"2017-06-12 05:12:31",629.991,dealership,2
37675,3,"2015-07-30 18:07:25",499.99,dealership,7
11438,4,"2018-05-05 21:41:23",115000,dealership,18
29522,7,"2016-12-22 18:19:54",599.99,internet,NULL
6349,3,"2016-02-18 22:20:08",499.99,internet,NULL
47320,8,"2019-04-27 13:57:48",629.991,dealership,3
12353,3,"2015-06-13 02:52:45",499.99,internet,NULL
41896,8,"2019-05-10 01:02:58",699.99,dealership,7
14465,3,"2018-05-10 11:09:44",449.99100000000004,internet,NULL
13206,4,"2015-10-31 05:48:37",115000,dealership,10
15557,3,"2017-12-20 05:02:28",499.99,dealership,15
31209,7,"2017-07-07 17:32:39",539.991,dealership,10
30459,8,"2017-04-10 02:10:40",629.991,internet,NULL
29691,8,"2019-03-18 19:11:57",559.9920000000001,dealership,19
34904,3,"2015-03-22 23:51:24",499.99,internet,NULL
5604,3,"2018-07-27 16:14:24",499.99,internet,NULL
7215,7,"2018-10-21 22:15:34",599.99,internet,NULL
34331,3,"2015-07-07 17:36:35",499.99,internet,NULL
38975,3,"2018-08-01 11:27:14",449.99100000000004,internet,NULL
43969,4,"2015-06-06 09:48:59",115000,internet,NULL
20440,8,"2018-10-01 22:52:31",699.99,internet,NULL
42150,3,"2016-05-26 02:04:22",449.99100000000004,internet,NULL
54,3,"2013-05-01 19:01:51",399.992,internet,NULL
17390,3,"2017-05-31 14:53:15",499.99,dealership,10
13862,7,"2018-10-12 05:47:27",599.99,dealership,10
12577,8,"2018-09-15 03:02:11",699.99,dealership,2
46261,12,"2019-02-27 17:36:29",349.99,dealership,11
30301,7,"2018-04-30 04:33:25",479.992,internet,NULL
24554,3,"2013-05-20 17:11:20",449.99100000000004,internet,NULL
13030,7,"2018-06-16 18:29:35",539.991,dealership,10
44643,8,"2017-04-14 08:18:36",699.99,dealership,1
22631,8,"2018-03-28 04:45:11",629.991,dealership,2
13053,7,"2018-05-26 00:29:48",479.992,internet,NULL
8238,3,"2014-09-05 02:10:36",449.99100000000004,internet,NULL
21487,8,"2018-11-03 11:49:23",699.99,dealership,7
16809,7,"2019-02-22 20:42:18",599.99,dealership,6
48541,3,"2014-08-17 16:56:02",399.992,internet,NULL
28314,3,"2013-10-02 03:45:34",449.99100000000004,internet,NULL
13787,7,"2019-01-14 12:24:08",539.991,dealership,10
12757,7,"2018-05-06 12:17:05",539.991,dealership,4
44564,3,"2016-06-30 03:03:07",399.992,dealership,10
39288,3,"2018-08-07 09:04:39",449.99100000000004,dealership,6
33827,3,"2015-09-12 14:24:02",499.99,internet,NULL
14036,3,"2016-04-08 03:30:37",499.99,internet,NULL
32389,3,"2016-01-17 02:21:46",499.99,internet,NULL
21784,12,"2019-05-19 03:36:37",279.992,dealership,7
6379,7,"2016-11-04 11:08:40",599.99,dealership,11
39059,3,"2017-10-04 18:49:29",499.99,internet,NULL
38954,7,"2016-11-22 21:59:38",539.991,dealership,3
37903,3,"2013-06-22 00:19:33",399.992,internet,NULL
35762,8,"2018-10-05 07:06:19",699.99,dealership,3
24015,7,"2018-08-12 11:09:50",599.99,dealership,19
44947,7,"2018-11-20 16:51:33",599.99,dealership,7
18041,8,"2017-06-09 21:03:18",699.99,internet,NULL
19854,3,"2015-06-29 16:04:27",499.99,internet,NULL
11197,7,"2017-12-05 20:34:43",599.99,internet,NULL
24262,3,"2015-11-21 07:25:29",499.99,internet,NULL
17456,7,"2018-11-20 12:03:26",479.992,internet,NULL
41523,7,"2019-02-15 01:59:16",599.99,dealership,10
